Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,Tonnage typical vessel,Exporting Port,Specific Index,General Index
West Kalimantan Generic,2020-06-26,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33,57000.0,West_Kal_Generic_Offshore,Indonesian LT,CBIX LT
West Kalimantan Generic,2020-06-26,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33,57000.0,West_Kal_Generic_Offshore,Indonesian LT,CBIX LT
Weipa/Amrun Generic,2020-06-26,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,0.67,76000.0,Weipa_Amrun_Wharf,Australia HT,CBIX HT
Malaysia Kuantan washed,2020-06-26,,,,,,,,,,,,,
Malaysia Kuantan washed,2020-06-26,,,,,,,,,,,,,
India Gujarat,2020-06-26,,,,,,,,,,,,,
India Gujarat,2020-06-26,,,,,,,,,,,,,
India Gujarat,2020-06-26,,,,,,,,,,,,,
SMB Generic,2020-06-26,0.448,0.4,0.023,0.013,0.01,0.035,0.1,LT,0.33,180000.0,SMB-WAP_Nunez_Offshore,Guinea 45/3 LT,CBIX LT
