,province,creation_date,updation_date,costinputs_id,Diesel Usage,open pit Washing Cost automation & labour productivity low,open pit Washing Cost automation & labour productivity medium,open pit Washing Cost automation & labour productivity high,Water Consumption,underground_washing_cost_automation_labour_productivity_low,underground_washing_cost_automation_labour_productivity_medium,underground_washing_cost_automation_labour_productivity_high,Resouce tax,Other Fixed
0,Guangxi,,2020-08-13 10:46:45.210,3,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
1,Guizhou,,,5,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
2,Hubei,,,7,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
3,Russia,,,9,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
4,Qinghai,,,1,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
5,Qinghai,,,8,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
6,Shanxi,,,2,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
7,Yunnan,,,4,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
8,Yunnan,,,10,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
9,Chongqing,,,6,0.41,0.24,0.21,0.18,1.8,0.08,0.07,0.06,20.0,6.5
