,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Domestic Bx,13.110373018295045,20.100018810227386,26.679430274569672,33.42084987015634,36.584825398591825,42.985287841685455,50.65748720256001,61.73734900242,71.6652187715556,79.6405484916804,89.74517386511857,92.3558382366556,107.63917566545464,109.28266293184569,93.89595344744006,81.08233716333001,50.31431508711999,52.62411644027999,47.701667756330004,40.458482807325,33.161771112299995,29.43501922512002,27.60160777840001,28.073311553900005,27.51595670720002,27.44786672160002,27.742226990400013
CBIX US$45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.661861479680013,19.591662397679986,15.71615305625,20.664628224750007,17.59733831055001,17.78582433743999,16.50937287679998,11.675349197650005,6.085259656399993,3.879650392379997,2.9342740085999846
CBIX US$55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.829254501199992,17.187000992280012,21.19794724227,19.611901881224988,16.23783275154,11.493178884720004,7.171258843360003,9.773185564324985,14.022554860400012,12.034833870240007,12.057198653520027
CBIX US$65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0378012381199913,5.0794606677799905,9.461540470200003,9.783357761100003,6.812698795919994,5.2365667093600035,2.8860413747000035,2.1166120543999924,3.35180680157999,4.48143666767998
Depletion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714694401800098,3.6452002145999964,14.805726009269987,23.518429022340012,29.04641853649001,30.676304185450004,32.226155275200014,34.3122583422,34.32094360290001
Planned Additional - Imports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.979394888321993,19.753543301399993,23.918408795503993,27.79548528232799,30.244746923424,31.293861693471996,37.02188336968799,41.162625222675985,45.56575809755199,47.726149958783985,48.49815079879199,48.510426851244
Existing Demand - Imports,3.0359999999999996,8.323699999999999,15.938999999999998,15.812499999999998,15.888399999999999,22.099549999999997,26.185499999999998,34.1044,35.62164243639,38.384867317499996,46.019478938249996,54.661795345574994,65.42861189242,66.06703930944,85.49400623358402,85.42461884054799,85.46017843610001,85.39931313097601,83.84640370423202,83.53757406087601,83.55794428872801,84.02731366957201,84.03293889312401,83.94188004144802,84.06048502841601,84.03622111840801,84.05749271415601
Imported Alumina,13.417610844280627,14.606168532471164,10.999820537318515,9.989713300886871,11.346620777337547,9.698248552652638,4.267259387095471,11.49451088816632,8.839162153905454,12.317041095822976,11.060380094042676,7.1520429843619775,6.9130624650684815,0.0,3.4934294330509923,7.679253211235542,7.769424935191216,7.839767160360935,6.45433322536231,6.5060519495986835,6.4714118336375,6.536880594044776,6.526952176389232,6.544221902698584,6.560076278636364,6.5554180578574925,6.566611308141892
domestic L,13.110373018295045,20.100018810227386,26.679430274569672,33.42084987015634,36.584825398591825,42.985287841685455,50.65748720256001,61.73734900242,71.6652187715556,79.6405484916804,89.74517386511857,92.3558382366556,107.63917566545464,109.28266293184569,93.89595344744006,81.08233716333001,50.31431508711999,52.62411644027999,47.701667756330004,40.458482807325,33.161771112299995,29.43501922512002,27.60160777840001,28.073311553900005,27.51595670720002,27.44786672160002,27.742226990400013
CBIX US$45 L,13.110373018295045,20.100018810227386,26.679430274569672,33.42084987015634,36.584825398591825,42.985287841685455,50.65748720256001,61.73734900242,71.6652187715556,79.6405484916804,89.74517386511857,92.3558382366556,107.63917566545464,109.28266293184569,93.89595344744006,81.08233716333001,76.9761765668,72.21577883795997,63.417820812580004,61.123111032075,50.75910942285,47.220843562560006,44.11098065519999,39.74866075155001,33.60121636360001,31.327517113980015,30.676500998999998
CBIX US$55 L,13.110373018295045,20.100018810227386,26.679430274569672,33.42084987015634,36.584825398591825,42.985287841685455,50.65748720256001,61.73734900242,71.6652187715556,79.6405484916804,89.74517386511857,92.3558382366556,107.63917566545464,109.28266293184569,93.89595344744006,81.08233716333001,85.805431068,89.40277983023998,84.61576805485001,80.73501291329998,66.99694217439,58.71402244728001,51.28223949855999,49.521846315874996,47.62377122400002,43.36235098422002,42.73369965252002
CBIX US$65 L,13.110373018295045,20.100018810227386,26.679430274569672,33.42084987015634,36.584825398591825,42.985287841685455,50.65748720256001,61.73734900242,71.6652187715556,79.6405484916804,89.74517386511857,92.3558382366556,107.63917566545464,109.28266293184569,93.89595344744006,81.08233716333001,85.805431068,90.44058106835998,89.69522872262999,90.19655338349999,76.78029993549,65.5267212432,56.518806207919994,52.407887690575,49.74038327840002,46.71415778580001,47.2151363202
Demand L,29.56398386257567,43.02988734269855,53.61825081188818,59.22306317104321,63.81984617592937,74.7830863943381,81.11024658965547,107.3362598905863,116.12602336185105,130.3424569050034,146.82503289741123,154.16967656659256,179.98085002294312,175.34970224128568,182.8833891140751,189.16560410343553,198.78857774069124,207.59807015520093,208.86292037473234,214.13012653199868,212.9092437605975,216.6312278988448,217.28774103659924,219.13605191772362,220.3132498194364,220.1162061030575,220.6706107966419
